Implementation,Complie,Error
human_eval_052_7.mlw,"[""unbound function or predicate symbol 'map'""]","unbound function or predicate symbol 'map'
"
human_eval_031_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_085_9.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_152_2.mlw,"[""unbound function or predicate symbol 'length'""]","unbound function or predicate symbol 'length'
"
human_eval_139_8.mlw,[],
human_eval_035_1.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_159_10.mlw,"['This expression has type (int, int), but is expected to have type list.List.', 'list int']","This expression has type (int, int), but is expected to have type list.List.
list int
"
human_eval_139_9.mlw,['syntax error'],"syntax error
"
human_eval_152_3.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_085_8.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_008_1.mlw,"[""unbound function or predicate symbol 'nth'""]","unbound function or predicate symbol 'nth'
"
human_eval_031_5.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_052_6.mlw,"[""unbound function or predicate symbol 'fold'""]","unbound function or predicate symbol 'fold'
"
human_eval_031_7.mlw,['Module Sqrt not found in library real'],"Module Sqrt not found in library real
"
human_eval_052_4.mlw,"[""unbound function or predicate symbol 'below_threshold_accumulator'""]","unbound function or predicate symbol 'below_threshold_accumulator'
"
human_eval_008_3.mlw,"['This expression has type (int, int), but is expected to have type list.List.', 'list int']","This expression has type (int, int), but is expected to have type list.List.
list int
"
human_eval_152_1.mlw,"[""unbound function or predicate symbol 'length'""]","unbound function or predicate symbol 'length'
"
human_eval_035_3.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_035_2.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_008_2.mlw,"[""unbound function or predicate symbol 'nth'""]","unbound function or predicate symbol 'nth'
"
human_eval_052_5.mlw,[],
human_eval_031_6.mlw,['Module Sqrt not found in library real'],"Module Sqrt not found in library real
"
human_eval_031_2.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_052_1.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_008_6.mlw,"[""unbound function or predicate symbol 'fold_left'""]","unbound function or predicate symbol 'fold_left'
"
human_eval_152_4.mlw,"[""unbound function or predicate symbol 'rev'""]","unbound function or predicate symbol 'rev'
"
human_eval_035_6.mlw,"[""unbound function or predicate symbol 'fold'""]","unbound function or predicate symbol 'fold'
"
human_eval_035_7.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_152_5.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_008_7.mlw,"[""unbound function or predicate symbol 'sum_aux'""]","unbound function or predicate symbol 'sum_aux'
"
human_eval_031_3.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_052_2.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_031_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_008_5.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
